Paste to S12!A:C - SPEC
Spec	Description	Note
S12-TITLE	Internal plaster, ceiling, finishes, sanitary final fixtures and internal finish interface	Current BOQ 100% cost basis from repeated check of floor plan/finishes legend, sections/elevations and sanitary/plumbing sources.
S12-STATUS	COMPLETE FOR NEXT SXX - CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS	Margin/profit/customer selling price is not included and will be calculated later.
S12-SOURCE	Use `Surau Plan Roof Plan Bldg Tender_Constn.pdf`, `Surau Juasseh sections and elevations tender_constn 1.pdf`, `Surau Sanitary Plumbing Schematic 1.pdf`, `Surau Sewerage Schematic 1.pdf`, plus S06/S10/S11 duplicate boundary files.	Rendered/text-extracted source and previous SXX boundaries checked before costing.
S12-FINISHES-SPEC	PC plasterboard ceiling with KCC emulsion paint. PP plastered wall with KCC emulsion paint. CT ceramic tile and PT 300x600 porcelain tile are supplied by ID and installed by main contractor. C carpet/underlay supplied and installed by ID over cement render and two coats Sissons silicone sealant by main contractor.	Tile supply and carpet supply/install are excluded where drawing says supplied by ID. Main contractor installation, consumables and substrate are included.
S12-SANITARY-SPEC	Final WC, basin, taps, grating covers, sanitary accessories, installation, testing and commissioning are included.	S06 rough-in excluded.
S12-COSTCHECK	Undercost/overprice/double-count check done.	S06 rough-in, S10 wall substrate/brickwork, S11 doors/windows/glazing, ID loose partition, ID shoe racks, built-in kitab racks to ID details, water tank/pump/external drainage and markup are excluded. No markup included.
S12-MARKUP	All lines are working cost only.	Customer selling price/margin to be calculated later.

Paste to S12!E:K - Materials Block
Note	Spec	Description	UOM	Usage Qty	Wastage/Buffer	Price/Unit (RM)
Paste to S12!P:V - Labour Block
Note	Spec	Description	UOM	Usage Qty	Wastage/Buffer	Rate (RM)
NO MARKUP - S12 RATE BASIS. CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS: PC plasterboard ceiling installation, jointing, making good and paint application.	S12-B2-001	Plasterboard Ceiling Installation Jointing and Paint Labour Allowance (Current Working Cost Per m2)	M2	232.63	0	35.00
NO MARKUP - S12 RATE BASIS. CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS: PP internal wall plastering and KCC emulsion paint labour. Wall substrate excluded to S10.	S12-B2-002	Internal Wall Plastering and KCC Emulsion Paint Labour Allowance (Current Working Cost Per m2)	M2	360	0	25.00
NO MARKUP - S12 RATE BASIS. CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS: PT/CT floor and wall tile installation labour. Tile material supply by ID excluded.	S12-B2-003	Floor and Wall Tile Installation Labour Allowance (Current Working Cost Per m2)	M2	275	0	45.00
NO MARKUP - S12 RATE BASIS. CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS: cement render and Sissons silicone sealant labour under ID carpet. Carpet and underlay supplied/installed by ID excluded.	S12-B2-004	Cement Render and Sissons Silicone Sealant under Carpet Labour Allowance (Current Working Cost Per m2)	M2	98.5	0	18.00
NO MARKUP - S12 RATE BASIS. CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS: final sanitary fixture installation and adjustment. CALC NOTE: 5 WC + 4 basins + 15 taps + 10 grating covers = 34 points.	S12-B2-005	Sanitary Final Fixture Installation Labour Allowance (Current Working Cost Per point)	POINT	34	0	95.00

Paste to S12!AA:AG - Service Block
Note	Spec	Description	UOM	Usage Qty	Wastage/Buffer	Rate (RM)
NO MARKUP - S12 RATE BASIS. CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS: final finishes protection, cleaning and handover touch-up.	S12-B3-001	Final Finishes Protection Cleaning and Handover Touch-Up Allowance (Current Working Cost Per lot)	LOT	1	0	1800.00
NO MARKUP - S12 RATE BASIS. CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS: final sanitary fixture testing, commissioning and leak correction after fixture installation. S06 rough-in test excluded.	S12-B3-002	Final Sanitary Fixture Testing Commissioning and Leak Correction Allowance (Current Working Cost Per lot)	LOT	1	0	650.00
NO MARKUP - S12 RATE BASIS. CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS: tile cutting, painting and finishing small tools/equipment and consumable service allowance.	S12-B3-003	Tile Cutting Painting and Finishing Small Tools Consumable Service Allowance (Current Working Cost Per lot)	LOT	1	0	950.00
