Paste to S13!A:C - SPEC
Spec	Description	Note
S13-TITLE	Electrical, lighting, fan, power, aircond point and internal M&E working-cost estimate	Size-based working-cost estimate accepted by owner to proceed to S14. Not exact electrical drawing/spec measured.
S13-STATUS	WORKING-COST ESTIMATE COMPLETE - OWNER ACCEPTED SIZE-BASED PROVISIONAL PATH	Exact drawing/spec electrical design remains HOLD until dedicated electrical drawing or owner-confirmed final electrical schedule.
S13-AREA-BASIS	Covered internal/ceiling finish area 232.63m2; main prayer/carpet area 98.50m2; roof/high-volume risk considered from S09 roof basis.	Estimate is scaled to full covered building, not only the visible EL/KS labels.
S13-AIRCOND-BASIS	Full-building allowance: 8 AC points, about 18HP-20HP class total, about 166,000-184,000 BTU/h. Main hall practical basis: 4 x 3HP class.	AC unit supply/model/brand excluded unless owner later includes. S13 prices AC electrical point/isolator/drain allowance only.
S13-COSTCHECK	Undercost/overprice/double-count check done.	S12 ceiling/finishes, S06 plumbing rough-in, S11 aluminium/glass/opening, TNB authority fees/deposit and exact engineer final design are excluded. No markup included.
S13-MARKUP	All lines are working cost only.	Customer selling price/margin to be calculated later.

Paste to S13!E:K - Materials Block
Note	Spec	Description	UOM	Usage Qty	Wastage/Buffer	Price/Unit (RM)
NO MARKUP - OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE: aircond condensate drain pipe and sleeve allowance. Final route pending.	S13-B1-011	Aircond Condensate Drain Pipe and Sleeve Allowance (Current Working Cost Per point)	POINT	8	0	180.00

Paste to S13!P:V - Labour Block
Note	Spec	Description	UOM	Usage Qty	Wastage/Buffer	Rate (RM)
NO MARKUP - OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE: electrical point installation labour. CALC NOTE: 30 light + 4 EL + 8 fan + 22 sockets + 14 switch = 78 points.	S13-B2-001	Electrical Point Installation Labour Allowance (Current Working Cost Per point)	POINT	78	0	75.00
NO MARKUP - OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE: aircond point electrical installation labour. AC unit install excluded unless owner includes AC supply/install.	S13-B2-002	Aircond Point Electrical Installation Labour Allowance (Current Working Cost Per point)	POINT	8	0	180.00
NO MARKUP - OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE: DB, earthing, protection setup and initial electrical testing labour.	S13-B2-003	DB Earthing Protection and Electrical Testing Labour Allowance (Current Working Cost Per lot)	LOT	1	0	2500.00
NO MARKUP - ROOT COST: electrical support, handling and making-good support labour.	S13-B2-004	Labour - General Helper (Per MH)	MH	120	0	16.25

Paste to S13!AA:AG - Service Block
Note	Spec	Description	UOM	Usage Qty	Wastage/Buffer	Rate (RM)
NO MARKUP - OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE: electrical testing, labelling and commissioning allowance.	S13-B3-001	Electrical Testing Labelling and Commissioning Allowance (Current Working Cost Per lot)	LOT	1	0	1200.00
NO MARKUP - OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE: ceiling access coordination and making-good allowance. Does not duplicate S12 finishes.	S13-B3-002	Ceiling Access Coordination and Making-Good Allowance (Current Working Cost Per lot)	LOT	1	0	1500.00
NO MARKUP - OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE: electrical tools, ladder, tester and consumable service allowance.	S13-B3-003	Electrical Tools Ladder Tester and Consumable Service Allowance (Current Working Cost Per lot)	LOT	1	0	850.00
