Paste to S13!A:C - SPEC
Spec	Description	Note
S13-TITLE	Electrical, lighting, fan, power, aircond point, PA/data/security and internal M&E working-cost estimate	V2 upgrades V1 from basic size-based estimate to premium-sensible surau estimate after owner correction.
S13-STATUS	WORKING-COST ESTIMATE COMPLETE - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED PROVISIONAL PATH	Exact drawing/spec electrical design remains HOLD until dedicated electrical drawing or owner-confirmed final electrical schedule.
S13-AREA-BASIS	Covered internal/ceiling finish area 232.63m2; main prayer/carpet area 98.50m2; roof/high-volume risk considered from S09 roof basis.	Estimate is scaled to full covered building and premium-surau comfort expectation, not only visible EL/KS labels.
S13-AIRCOND-BASIS	Full-building allowance: 10 AC points, about 23HP-24HP class total, about 200,000-212,000 BTU/h. Main hall practical basis: 4 x 3HP class.	AC unit supply/model/brand excluded unless owner later includes. S13 prices AC electrical point/isolator/cabling and condensate drain allowance only.
S13-PREMIUM-BASIS	Premium glass/aluminium and Breezeway Altair suggest S13 should not be too low: add feature lighting, PA/audio, CCTV/WiFi/data allowance, more switches/sockets and upgraded DB/SPD spare capacity.	Still controlled to avoid overprice; not a commercial over-design.
S13-COSTCHECK	Undercost/overprice/double-count check done.	S12 ceiling/finishes, S06 plumbing rough-in, S11 aluminium/glass/opening, AC unit supply, full PA/CCTV equipment supply, TNB authority fees/deposit and exact engineer final design are excluded. No markup included.
S13-MARKUP	All lines are working cost only.	Customer selling price/margin to be calculated later.

Paste to S13!E:K - Materials Block
Note	Spec	Description	UOM	Usage Qty	Wastage/Buffer	Price/Unit (RM)
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: 3-phase DB, MCB, RCD, ELCB, SPD protection with spare capacity. Final design by electrician/engineer.	S13-B1-011	3-Phase Distribution Board MCB RCD ELCB SPD Protection Allowance with Spare Capacity (Premium-Sensible Working Cost Per lot)	LOT	1	0	7200.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: enhanced earthing and bonding allowance. Final earth design pending.	S13-B1-012	Enhanced Earthing and Bonding Allowance (Premium-Sensible Working Cost Per lot)	LOT	1	0	2200.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: electrical conduit, cable, trunking and fixing sundries allowance. Not exact cable-route takeoff.	S13-B1-013	Electrical Conduit Cable Trunking and Fixing Sundries Allowance (Premium-Sensible Working Cost Per lot)	LOT	1	0	4500.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: aircond condensate drain pipe and sleeve allowance. Final route pending.	S13-B1-014	Aircond Condensate Drain Pipe and Sleeve Allowance (Premium-Sensible Working Cost Per point)	POINT	10	0	180.00

Paste to S13!P:V - Labour Block
Note	Spec	Description	UOM	Usage Qty	Wastage/Buffer	Rate (RM)
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: electrical and low-voltage point installation labour. CALC NOTE: 36 + 8 + 6 + 10 + 28 + 18 + 6 + 8 = 120 points.	S13-B2-001	Electrical and Low-Voltage Point Installation Labour Allowance (Premium-Sensible Working Cost Per point)	POINT	120	0	75.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: aircond point electrical installation labour. AC unit install excluded unless owner includes AC supply/install.	S13-B2-002	Aircond Point Electrical Installation Labour Allowance (Premium-Sensible Working Cost Per point)	POINT	10	0	180.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: PA/CCTV/WiFi/data wiring/interface installation labour. Equipment commissioning by supplier excluded unless owner includes.	S13-B2-003	PA CCTV WiFi Data Installation Labour Allowance (Premium-Sensible Working Cost Per lot)	LOT	1	0	1800.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: upgraded DB, earthing, protection setup and initial electrical testing labour.	S13-B2-004	DB Earthing Protection and Electrical Testing Labour Allowance (Premium-Sensible Working Cost Per lot)	LOT	1	0	3000.00
NO MARKUP - ROOT COST: electrical support, handling and making-good support labour.	S13-B2-005	Labour - General Helper (Per MH)	MH	160	0	16.25
NO MARKUP - ROOT COST: main contractor skilled coordination/checking/making-good support.	S13-B2-006	Labour - Skilled Worker (Per MH)	MH	80	0	22.50

Paste to S13!AA:AG - Service Block
Note	Spec	Description	UOM	Usage Qty	Wastage/Buffer	Rate (RM)
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: electrical testing, labelling and commissioning allowance.	S13-B3-001	Electrical Testing Labelling and Commissioning Allowance (Premium-Sensible Working Cost Per lot)	LOT	1	0	1800.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: ceiling access coordination and making-good allowance. Does not duplicate S12 finishes.	S13-B3-002	Ceiling Access Coordination and Making-Good Allowance (Premium-Sensible Working Cost Per lot)	LOT	1	0	2200.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: electrical tools, ladder, tester and consumable service allowance.	S13-B3-003	Electrical Tools Ladder Tester and Consumable Service Allowance (Premium-Sensible Working Cost Per lot)	LOT	1	0	1200.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: electrical setting out, as-built labelling and circuit tagging allowance. Not an engineer design submission.	S13-B3-004	Electrical Setting Out As-Built Labelling and Circuit Tagging Allowance (Premium-Sensible Working Cost Per lot)	LOT	1	0	1500.00
