Spec	Description	Note
S05-TITLE	Building substructure: footing, stump and ground beam	Working-cost drawing/spec basis from rendered customer structural drawings.
S05-SOURCE	01-SURAU JERUSSALAM LP-R02 Layout1.pdf; 04-SURAU JERUSSALAM GROUND BEAM DETAIL 01.pdf; 05-SURAU JERUSSALAM GROUND BEAM DETAIL 02.pdf	Structural foundation drawings used.
S05-SPEC	G25 for pad footing, stump/column starter and ground beam; G15 for lean concrete only	General notes specify pad footing, column, beams, slabs G25 and lean concrete G15.
S05-QTY	Pad footing count P1=3, P2=16, P3=7, P4=12, P5=0; total 38 pad footings. Ground beam basis 151.20m average 150x400 section	Pad footing sizes: P1 550x550x250; P2 700x700x250; P3 850x850x250; P4 1050x1050x250; P5 1200x1200x250.
S05-INCLUDED	G25 concrete, G15 lean concrete, reinforcement, formwork, skilled/helper labour, backhoe and concrete placing access	Excludes S03 earthwork/platform fill, S04 crossing bridge, S07 slab/apron/ramp/hardcore/DPM/BRC, S08 columns/roof beams and later drainage/road works.
S06-TITLE	Under-slab plumbing, sewerage and drainage rough-in	Corrected V2 working-cost drawing/spec basis after repeated check of sanitary plumbing and sewerage schematic drawings.
S06-SOURCE	Surau Sanitary Plumbing Schematic 1.pdf; Surau Sewerage Schematic 1.pdf	Repeated check used rendered images and extracted drawing text/positions.
S06-SCOPE	Internal under-slab/first-fix plumbing and sewer rough-in to first external interface	Final sanitary fixtures/taps/basins/WC belong to S12; external manholes/public sewer and stormwater drainage excluded to later external works unless already covered by S14/S16.
S06-QTY	WC soil rough-in 5 points; floor trap 10 points; gully trap 6 points; water supply outlet rough-in 25 points	V2 corrected previous undercount.
S06-PIPE-LENGTH	100mm UPVC sewer 35m; 50mm UPVC waste 70m; 19/25mm ABS water main 70m; 12mm ABS branch 100m	NTS schematic basis; drawing/spec-derived working-cost allowance from fixture counts and building/group runs.
S06-INCLUDED	UPVC sewer/waste pipe, ABS water supply main/branch, floor traps, gully traps, WC rough-ins, outlet stub-ups/sleeves/elbows, fittings, solvent, clamps, caps/test plugs, labour, backhoe and rough-in leak/pressure test	No final fixtures; no markup.
S07-TITLE	Ground floor slab, apron, steps and ramps	Working-cost drawing/spec basis from repeated check of rendered slab/layout drawings.
S07-SOURCE	01-SURAU JERUSSALAM LP-R02 Layout1.pdf; 02-SURAU JERUSSALAM SLAB SECTION 01.pdf; 03-SURAU JERUSSALAM SLAB SECTION 02.pdf	Rendered and repeatedly checked.
S07-SLAB-SPEC	Non-suspended ground floor slab: 150mm concrete, BRC A8 bottom, BRC B5 top strip zones, polythene sheet/DPM, 100mm crusher run/hardcore, 50mm lean concrete where shown	Concrete grade G25 for slab/apron; G15 for lean concrete.
S07-APRON-SPEC	Typical apron: 100mm concrete apron, wire mesh A6, 150mm hardcore; steps/ramp/entrance areas included	Perimeter drain visible but excluded to drainage SXX.
S07-QTY	Ground floor slab area 264.96m2; apron/steps/ramp area 48.00m2	Area derived from rendered 2400mm grid/cell check and visible entrance/apron/ramp/stair zones.
S07-INCLUDED	G25/G15 concrete, crusher run, BRC A8/B5/A6, DPM, slab edge/steps formwork, screed/joint/curing consumables, skilled/helper labour, concrete placing access and compaction/finishing equipment	Excludes S05 ground beams and S06 rough-ins.
S08-TITLE	Columns, RC frame / roof beams and superstructure structural RC	Current BOQ stage uses customer/README accepted full allowance basis.
S08-SOURCE	01-SURAU JERUSSALAM LP-R02 Layout1.pdf; 06-SURAU JURESSALAM ROOF BEAM DETAIL-R01 Model.pdf; 07-SURAU JURESSALAM INT RF BEAM DETAIL-R01 Model.pdf	Rendered and repeatedly checked.
S08-CONCRETE-SPEC	G25 concrete for columns and beams	S05 ground beams and S07 slab are excluded.
S08-COLUMN-SPEC	C1/C3 125x125, 4T12 main bar, R6 ties; final current BOQ basis 38 above-ground column locations with 3.0m height allowance	Allowance adopted to avoid undercost.
S08-BEAM-SPEC	Roof beams RF1-RF21 and internal roof beams IRB1/IRB2 groups checked; RF 121.20m at 125x300 and IRB 57.60m at 125x350	Full allowance basis, not minimum quantity.
S08-INCLUDED	G25 concrete, rebar, formwork, spacers/chairs/tie wire/curing consumables, direct labour, concrete pump, scaffolding bays and jack/U-head support	Excludes S05/S07/S09 scopes.
S09-TITLE	Roof framing, roof structure and roof covering interface	Current BOQ 100% cost basis from roof framing, roof plan and section/elevation drawings.
S09-SOURCE	Roof Framing.pdf; Roof Framing 1.pdf; Surau Plan Roof Plan Bldg Tender_Constn.pdf; Surau Juasseh sections and elevations tender_constn 1.pdf	Rendered and repeatedly checked.
S09-ROOF-SPEC	Insulated metal roofing POWIN or equivalent on GI steel battens/rafters; all GI rafters and associated roof supporting purlins plain GI and not coloured type	Source: roof framing notes and sections/elevations.
S09-AREA	Roof surface full allowance 390m2	Includes multi-level roof planes, 30/45 degree slopes, hips/valleys, laps/cutting and full-allowance rounding.
S09-SCOPE	GI roof frame, insulated roofing, flashing/capping, trims, rainwater goods, RWDP, fasteners/sealants, exposed steel paint, labour, specialist installation and roof access/lifting	Excludes S08 RC beams/columns, S12 ceiling/finishes, ground drainage/longkang and final water tank/plumbing connection.
S10-TITLE	External walls / masonry / brickwork / wall structural infill	Current BOQ 100% cost basis from repeated check of rendered floor plan, sections and elevations.
S10-SOURCE	Surau Plan Roof Plan Bldg Tender_Constn.pdf; Surau Juasseh sections and elevations tender_constn 1.pdf; 01-SURAU JERUSSALAM LP-R02 Layout1.pdf	Rendered/text-extracted source checked.
S10-WALL-SPEC	Selected Taiwan kiln bricks supplied in pallets and protected; brickwork neat and cleaned of slurry fairface construction with architect-approved mock-up	From sections/elevations wall note.
S10-SEALANT-SPEC	All brickwork and breeze blocks unless plastered protected with 3 coats Sissons matt waterproof silicon sealant inside and outside	Included in S10 because tied to brickwork/breeze-block wall construction.
S10-AREA	Facing/fairface brickwork 245m2; common/plastered wall substrate 110m2; facing brick ventilation screen 40m2; cement screen blocks 35m2; sealant 640m2	Drawing-derived full allowances after openings and wall categories.
S10-INCLUDED	Walling, screens, sealant, mortar/ties/lintels/sills/sundries, direct labour, specialist masonry/screen/sealant labour and wall-access scaffold	Excludes S05/S08/S09/S11/S12/S14/S15/S16 scopes.
S11-TITLE	Doors, windows, aluminium/glazing, louvres and ventilation/opening fixtures	Includes full spec-size-quantity schedule for QS/supplier pricing.
S11-SOURCE	Surau Plan Roof Plan Bldg Tender_Constn.pdf; Surau Juasseh sections and elevations tender_constn 1.pdf; 01-SURAU JERUSSALAM LP-R02 Layout1.pdf	Rendered/text-extracted source checked.
S11-DOOR-SPEC	D1 900x2400 solid timber door qty 4; D2 2300x2400 powder coated aluminium sliding door with 10mm clear tempered glass qty 3; D3 1000x2400 solid timber door qty 3	Door schedule checked.
S11-WINDOW-SPEC	W1 900x1200 top hung powder coated aluminium window with 8mm clear glass qty 2; W2 2280x2400 Breezeway Altair adjustable glass louvres qty 5; W3 750x2400 Breezeway Altair adjustable glass louvres qty 2	W4/W5/W6 are no-cost high-level openings; BS1 brick screen excluded to S10.
S11-ALUMINIUM-GLASS-AREA	D2 total 16.56m2; W1 total 2.16m2; W2 total 27.36m2; W3 total 3.60m2	Actual aluminium/glass supplier price may replace rates later, but S11 is included and not zero.
S11-INCLUDED	Door/window/louvre supply, timber door frames/ironmongery/finish, aluminium/glazing allowances, fixing sundries, sealant, flashing, installation labour and opening access/protection	No markup included.
S12-TITLE	Internal plaster, ceiling, finishes, tile supply, sanitary final fixtures and internal finish interface	V2 owner correction includes tile supply in current BOQ cost basis.
S12-SOURCE	Surau Plan Roof Plan Bldg Tender_Constn.pdf; Surau Juasseh sections and elevations tender_constn 1.pdf; Surau Sanitary Plumbing Schematic 1.pdf; Surau Sewerage Schematic 1.pdf; owner correction 2026-07-10	Tile supply included by owner correction even where exact final tile brand/model may be replaced later.
S12-FINISHES-SPEC	PC seamless joint plasterboard ceiling with KCC emulsion paint; PP plastered and KCC emulsion paint; PT porcelain floor tile; CT ceramic wall/floor tile; carpet substrate under ID carpet	Tile supply, tile consumables, tile installation, ceiling, wall plaster/paint and carpet substrate included as current BOQ cost basis.
S12-QTY	Ceiling 232.63m2; internal wall plaster/paint 360m2; PT porcelain tile supply 100m2; CT ceramic tile supply 175m2; tile consumables/installation 275m2; carpet substrate 98.50m2	S12 V2 corrected tile supply inclusion.
S12-SANITARY-SPEC	WC final fixture sets 5; basin final fixture sets 4; tap/wuduk/feet-wash fixtures 15 points; floor trap/grating final covers 10 points; sanitary accessories/sundries 1 lot; final fixture install 34 points	S06 rough-in excluded to avoid duplicate count.
S12-INCLUDED	Ceiling, plaster/paint, tile supply, tile consumables, tile installation labour, carpet substrate/render/sealant, final sanitary fixtures, sanitary installation, protection, final cleaning, sanitary testing and finishing tools	Excludes S06 rough-in, S10 wall substrate/brickwork, S11 doors/windows/glazing, S13 M&E, external drainage and customer markup.
S13-TITLE	Electrical, lighting, fan, power, aircond point, PA/data/security and internal M&E working-cost estimate	Owner accepted premium-sensible size-based provisional path.
S13-STATUS	Working-cost estimate complete; exact drawing/spec electrical design remains hold for future M&E update only	Not a current blocker under owner-accepted complete logical estimate path.
S13-AREA-BASIS	Covered internal/ceiling finish area 232.63m2; main prayer/carpet area 98.50m2; roof/high-volume risk considered	Estimate scaled to full covered building and premium-surau comfort expectation.
S13-AIRCOND-BASIS	Full-building allowance 10 AC points about 23HP-24HP class total; about 200,000-212,000 BTU/h; main hall practical basis 4 x 3HP class	AC unit supply/model/brand excluded unless owner later includes. S13 prices AC electrical point/isolator/cabling and condensate drain allowance only.
S13-POINTS	36 LED light points; 8 feature/external light points; 6 emergency/exit points; 10 fan points; 28 sockets; 18 switch/control; 10 AC isolator points; 6 ventilation points; PA/audio lot; 8 CCTV/WiFi/data points	Includes upgraded DB/SPD/protection, earthing, conduit/cable/trunking sundries and AC condensate drain/sleeve points.
S13-LABOUR-SERVICE	Electrical/low-voltage point install labour 120 points; AC point labour 10 points; PA/data labour 1 lot; DB/earthing/testing labour 1 lot; helper/skilled support; testing/commissioning; ceiling access/making-good; tools; as-built/circuit labelling	Excludes exact engineer design, TNB authority fees/deposit, full selected PA/CCTV equipment supply and AC unit supply unless owner later includes.
S14-TITLE	Road, drainage, premix hardstanding, kerb, subsoil drain, sump and entrance culvert	Current BOQ 100% cost basis from repeated check of road and drainage layout/details.
S14-SOURCE	SJ_02R&D-LP-01-S0-01.pdf; SJ_02R&D-DT-02-S0-00.pdf; S09/S03/S04/S06 boundary files	R&D layout and detail sheets rendered/extracted/visually inspected.
S14-SPEC	Proposed premix road, proposed kerb, 375mm wide drain with 225mm HRGW, 200mm diameter subsoil drain, S1 1200x1200 brick sump, DO drain opening and entrance culvert	Road/drainage scope from drawing legend and details.
S14-QTY	Premix road/hardstanding 430m2; concrete road kerb 155m; 375mm drain 145m; 200mm subsoil drain 110m; S1 sump 4 nos; DO drain opening 2 nos; entrance culvert 6m; RWDP ground connection 4 points; road marking 1 lot	Includes road/drain excavation, backfill, disposal, plant, flushing and final cleaning.
S14-EXCLUDED	S03 bulk earthwork, S04 crossing bridge/structural entrance bridge, S06 plumbing rough-in, S09 roof gutter/RWDP, S12/S13 items, TNB/water authority fees and customer markup	S14 includes ground road/drainage works and RWDP ground connection only.
S15-TITLE	Fencing, gate, front meter/bin enclosure and boundary entrance metalwork	Current BOQ 100% cost basis from repeated check of Fencing and Gate drawing.
S15-SOURCE	Fencing and Gate 1.pdf	Elevation from road outside, plan, sectional details, fencing section and title block rendered/visually inspected.
S15-DRAWING-BASIS	Total frontage 19.486m from 4431mm + 10883mm + 4172mm; main gate 10883mm; anti-climb fencing to manufacturer detail; 900x700 metal doors; 200x200 ceramic wall/floor tiles; drainage outlet, meter positions and MS grating shown	Scale 1:50; quantities use drawing-derived full allowance basis.
S15-QTY	Anti-climb fence panel 15.72m2; large metal vehicle gate 22.56m2; facing brick gate wall/post and meter/bin enclosure 28m2; RC gate/fence footing/plinth/coping 19.5m; 900x700 metal doors 2 sets; inspection panel 1 set; 200x200 tile 35m2	Includes drainage outlet, MS grating, utility enclosure sundries, labour, anti-rust paint/hardware, gate testing and handover.
S15-EXCLUDED	S01 temporary hoarding, S04 crossing bridge/road entrance, S14 road/drain/culvert, S13 internal electrical/security, S06 plumbing/sewer rough-in and S10 main building walling	No markup included.
S16-TITLE	External utility, rainwater harvesting, garden taps and final concrete paving	Current BOQ 100% cost basis from repeated check of site plan/survey and boundary against S06/S09/S13/S14/S15.
S16-SOURCE	Surau Site Plan Tender_Constn.pdf; Survey Tapak Surau Juassewh Sentosa.pdf; Surau Plan Roof Plan Bldg Tender_Constn.pdf	Site plan rendered/visually checked.
S16-SITE-SPEC	Lot 20093 area 1,759m2 / 18,934 SF; site plan shows rainwater harvesting tank, 1 day supply suction tank, garden taps, concrete paving to detail and water utility interfaces	Current quantities are drawing-derived full allowances.
S16-QTY	Rainwater harvesting tank 1 set; one-day supply suction tank 1 set; external garden taps 4 points; external water supply pipework 95m; rainwater harvesting overflow/transfer pipework 45m; external concrete paving 55m2; garden tap marker/protection 4 points	Includes labour, testing/flushing, small plant/compaction/cutting/tool allowance and final making-good/cleaning/handover.
S16-EXCLUDED	S06 internal plumbing rough-in, S09 roof gutter/RWDP supply, S13 electrical, S14 road/drain/culvert/sump and S15 gatepost/meter/rubbish enclosure structure	No markup included.
S17-TITLE	Overall reconciliation / final BOQ review	No new trade cost line. Reconciles S01-S16 current cost chain after corrections.
S17-SCOPE	Strict recheck of S01-S16 active cost chain, S03 V2 correction, S13 owner-accepted provisional M&E basis and markup exclusion	S17 is summary/reconciliation, not a construction trade package.
S17-STATUS	Strict 100% recheck V3 PASS for current BOQ cost basis	New cost impact RM0.00.
S18-TITLE	Final reserved scope / project closeout review	No new trade cost line. Confirms 24/24 current drawing/source files covered by S01-S16/S17 coverage.
S18-SCOPE	Checks layout, plan, elevations, sections, slab, ground beam, roof beam, roof framing, crossing bridge, hoarding/signboard, ESCP, earthwork, road/drainage, fencing/gate, sanitary/sewerage/plumbing, site plan/rainwater/garden taps/external utility and S13 M&E temporary basis	Found no unassigned drawing requiring a new construction-cost SXX before final consolidation.
S18-STATUS	Final reserved-scope / project closeout review PASS for current BOQ cost basis	New cost impact RM0.00.
S19-TITLE	Final current-cost BOQ consolidation / paste-chain / no-missing-component recheck	No new trade cost line. Confirms consolidated current BOQ cost chain after S18.
S19-SCOPE	13G strict recheck of S18 24/24 drawing/source coverage, S01-S18 active paste chain, S03 V2 correction, S13 component completeness and no known missing component/rate/line count	S19 is consolidation, not a construction trade package.
S19-STATUS	13G strict 100% recheck V2 PASS for current BOQ cost basis	New cost impact RM0.00.
S20-TITLE	SXX cost-only correction / closure checkpoint	No new trade cost line. Corrects earlier mistaken markup classification and confirms markup/customer selling price is outside SXX.
S20-SCOPE	Correction checkpoint only: SXX chain is cost takeoff only, no markup/gross margin/customer selling price inside SXX	S21 not opened because no current additional construction cost scope is defined.
S20-STATUS	SXX cost-only correction / closure checkpoint PASS	New construction-cost impact RM0.00.
QS-NOTE	This consolidated file gives the SPEC A:C scope narrative and cost basis for QS pricing/review	For actual workbook pricing quantities/rates, use each active SXX_BOQXLSM_PASTE_READY file listed in tracker V41. This file is a consolidated reference and not a replacement for detailed takeoff/audit evidence.
QS-NOTE	Door/window/glazing and tile supply are included in current cost basis	S11 includes doors/windows/glazing as provisional/current BOQ cost; S12 V2 includes tile supply by owner correction.
QS-NOTE	Markup/customer selling price is outside this file	Use separate commercial/pricing file only when owner asks.
